attendance_percentage,internal_exam_1,internal_exam_2,assignment_score_avg,quiz_avg,lab_performance,previous_sem_gpa,backlog_count,project_score,midterm_score,study_hours_per_day,library_visits_per_month,online_course_count,doubt_sessions_attended,age,family_income,distance_from_college_km,gender,parental_education_level,urban_or_rural,sleep_hours,stress_level,social_media_hours,internet_access_home,participation_club,participation_sports,internship_completed,health_issues,part_time_job,final_exam_score,pass_fail
82.45071229516849,44.207966914081965,50.452149409528644,68.07331369871139,40.92329260913471,58.598111660215544,4.893923411191916,0,60.47950482266291,57.44172083218288,1.0642695456655087,6,1,5,22,777498.7803530114,9.727461818329271,Female,Graduate,Rural,6.730172331059228,5.4982065712178825,3.4185704531971637,No,No,No,No,Yes,Yes,57.57819502892271,Pass
72.92603548243223,46.87254120322332,49.09261472620305,63.56211375457567,30.0,55.653755581218675,4.407578948662845,0,61.48953132111628,47.96204381809767,5.3134454670669315,4,1,2,23,664712.0969880869,9.51856073628861,Male,Postgraduate,Rural,9.0,2.1590158896638303,4.701651687223277,Yes,No,No,Yes,Yes,No,66.91909158606558,Pass
84.71532807151038,57.520352575533074,53.64436141073931,67.79155903500607,36.88985109830014,59.61901649953035,5.903913889853881,2,60.233702107834574,61.86815838545867,4.738994397496049,8,3,0,24,675037.1961375024,6.666112024363753,Female,Postgraduate,Urban,5.521729422398818,9.777038663734654,2.5092792472962504,No,No,Yes,Yes,Yes,Yes,65.23658881216986,Pass
97.84544784612038,83.80876996639375,66.11958291256687,59.89432965555187,54.951981792785574,58.596632494318584,7.2012367980453655,0,45.230329706658715,71.51568857933329,2.8440162166546763,7,2,2,21,430955.84675049456,9.948919808822595,Male,Graduate,Rural,5.9749959347452695,3.2755546323835034,2.9597087442234984,No,Yes,No,No,No,Yes,90.32849421034504,Pass
71.48769937914996,57.34504462376003,52.325501489335586,53.953432537710654,39.53429604145307,43.67944217924806,5.858304824377345,2,52.01195980348265,70.1030761484106,2.2675301812899855,5,1,3,23,622963.6123065312,16.470205160284117,Female,Graduate,Rural,6.1733755262629,2.2801119236872913,2.0200769403159153,No,Yes,No,No,Yes,Yes,64.20102368798918,Pass
71.4879456457623,42.208914834658245,62.83870953305934,46.9516089276152,31.769317349419595,40.0,5.115325480695519,1,40.0,45.43982225435175,2.0858390564911806,3,1,1,20,796092.4934589593,7.932552814514865,Female,School,Rural,7.26846724220772,9.401976526985482,2.6421104062915215,Yes,Yes,No,Yes,No,No,51.796214884177765,Pass
98.68819223261087,73.10120565490762,68.93573456414003,72.66349415240109,53.74424195142052,70.55051377477872,6.2413234481375515,0,62.49389235564622,73.88995919175073,0.5,4,3,5,23,699733.2579298903,14.806985450593649,Male,Postgraduate,Urban,9.0,3.4569361542769226,3.462005347515773,No,No,Yes,No,No,Yes,91.5615069698982,Pass
86.51152093729362,49.52848065086925,48.37623154154493,72.4180943090428,34.43382887815874,60.15860699594645,4.4040274893802405,0,65.07229422048822,48.36210453100936,3.530730111903617,6,2,7,20,651080.3151647659,10.008037002908413,Male,Postgraduate,Urban,8.117429148334026,5.245318565433544,3.881392858229714,No,Yes,No,Yes,No,Yes,61.58321668033473,Pass
67.95788421097572,59.436258957682014,63.573303202085825,54.70657479880781,37.717289117459764,41.18704771758385,5.93527075364475,1,40.0,70.55298357109734,4.170485385454267,4,2,3,23,100000.0,11.347881393598263,Male,Graduate,Rural,5.740337270099078,8.006541414839376,4.127316395573606,Yes,No,No,Yes,No,No,65.3095840600932,Pass
83.13840065378947,56.11404317773066,53.669059088812766,71.23351652243466,35.40771114936083,59.07603356534851,6.17324962520146,0,50.720298350705626,71.43522680885123,3.206853174164653,4,1,1,22,627578.4127795991,17.103136254709536,Male,Graduate,Rural,4.128697829699641,3.3460889788266774,2.8805070549219,Yes,Yes,Yes,No,Yes,Yes,72.37802123091953,Pass
68.04873460781306,50.080151254774464,51.644473224032204,55.026391670463916,30.15596433655784,47.040796924907134,5.536803039204946,1,55.387327543854084,59.79180283152849,2.870495348100371,6,5,1,19,449955.94483316503,9.549362247253082,Female,School,Urban,7.890307791408302,2.3239713678396536,1.7584668911650576,Yes,No,No,Yes,Yes,Yes,62.613532204779894,Pass
68.01405369644614,61.4148053982052,56.67449997209711,43.52155600982998,48.149229833538044,49.14702117421858,6.716395974676187,1,40.0,81.81235486685927,3.200075262729877,3,2,5,24,302948.40990497405,10.32302217703362,Female,School,Urban,6.801125809804451,3.544715348827353,2.422044064775159,Yes,No,No,No,Yes,No,71.48610353676135,Pass
78.62943407349051,46.880351895420304,61.10523633179667,42.394674805434214,30.0,44.464697118607795,6.226097019375778,1,40.0,50.72515305425544,1.720161028863635,3,1,2,18,628135.8065197677,13.198548580897175,Female,School,Rural,7.612347442885122,3.0972847899170817,4.790403482420628,No,Yes,Yes,Yes,Yes,No,68.04387372934103,Pass
